Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_3,Chrome 103.0.5060.114,,,2022-07-12 23:36:39,2022-07-12 23:40:58,4m - 18.428s,PASSED
,,,,,,,
Test Cases/37_Training Eligibility Step 1,Chrome 103.0.5060.114,,,2022-07-12 23:36:40,2022-07-12 23:37:00,19.378s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:42,2022-07-12 23:36:50,8.164s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:50,2022-07-12 23:36:50,0.684s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:50,2022-07-12 23:36:53,2.751s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:36:53,2022-07-12 23:36:54,1.281s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:54,2022-07-12 23:36:55,1.038s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:55,2022-07-12 23:36:56,0.820s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:56,2022-07-12 23:36:57,0.988s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:57,2022-07-12 23:36:59,1.332s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:36:59,2022-07-12 23:37:00,1.012s,PASSED
,,,,,,,
Test Cases/38_Training Eligibility Validate Inputs from Step 1,Chrome 103.0.5060.114,,,2022-07-12 23:37:00,2022-07-12 23:37:09,9.454s,PASSED
