Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_1,Chrome 103.0.5060.114,,,2022-07-12 23:36:32,2022-07-12 23:39:18,2m - 46.028s,PASSED
,,,,,,,
Test Cases/01_CPO Approved Courses Tab,Chrome 103.0.5060.114,,,2022-07-12 23:36:32,2022-07-12 23:36:47,14.620s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:33,2022-07-12 23:36:37,4.146s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:37,2022-07-12 23:36:38,0.761s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:38,2022-07-12 23:36:40,2.856s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:36:40,2022-07-12 23:36:42,1.102s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:42,2022-07-12 23:36:43,1.254s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:43,2022-07-12 23:36:44,1.618s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:44,2022-07-12 23:36:45,0.696s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:45,2022-07-12 23:36:46,0.637s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:36:46,2022-07-12 23:36:47,0.899s,PASSED
,,,,,,,
Test Cases/02_Approved Courses Search by Date Range,Chrome 103.0.5060.114,,,2022-07-12 23:36:47,2022-07-12 23:37:01,14.569s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:49,2022-07-12 23:36:51,2.848s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:51,2022-07-12 23:36:52,0.177s,PASSED
