Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:40,2022-07-12 23:37:40,0.619s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:40,2022-07-12 23:37:41,0.639s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:41,2022-07-12 23:37:42,0.901s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:42,2022-07-12 23:37:43,1.049s,PASSED
,,,,,,,
Test Cases/87_TP Onboarding Login Page,Chrome 103.0.5060.114,,,2022-07-12 23:37:43,2022-07-12 23:37:54,11.535s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:44,2022-07-12 23:37:46,1.849s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:46,2022-07-12 23:37:46,0.264s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:46,2022-07-12 23:37:48,2.136s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:48,2022-07-12 23:37:50,2.113s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:50,2022-07-12 23:37:51,0.765s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:51,2022-07-12 23:37:52,0.801s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:52,2022-07-12 23:37:53,1.122s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:53,2022-07-12 23:37:53,0.577s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:53,2022-07-12 23:37:54,0.807s,PASSED
,,,,,,,
Test Cases/88_TP Onboarding Login Page Contact Us Sidebar,Chrome 103.0.5060.114,,,2022-07-12 23:37:54,2022-07-12 23:38:05,10.421s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:55,2022-07-12 23:37:57,1.539s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:57,2022-07-12 23:37:57,0.166s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:57,2022-07-12 23:37:59,2.219s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:59,2022-07-12 23:38:00,1.224s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:00,2022-07-12 23:38:01,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:01,2022-07-12 23:38:02,1.242s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:02,2022-07-12 23:38:03,0.852s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:03,2022-07-12 23:38:04,0.980s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:04,2022-07-12 23:38:05,0.895s,PASSED
,,,,,,,
Test Cases/89_New Training Program Wizard Step 1 - Page Setup,Chrome 103.0.5060.114,,,2022-07-12 23:38:05,2022-07-12 23:38:16,11.535s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:06,2022-07-12 23:38:08,1.965s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:08,2022-07-12 23:38:08,0.163s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:08,2022-07-12 23:38:11,2.544s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:11,2022-07-12 23:38:12,0.850s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:12,2022-07-12 23:38:12,0.430s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:12,2022-07-12 23:38:13,0.901s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:13,2022-07-12 23:38:14,1.605s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:14,2022-07-12 23:38:15,0.796s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:15,2022-07-12 23:38:16,0.985s,PASSED
,,,,,,,
Test Cases/90_New Training Program Wizard Fixed Footer,Chrome 103.0.5060.114,,,2022-07-12 23:38:16,2022-07-12 23:38:29,12.489s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:17,2022-07-12 23:38:20,2.409s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:20,2022-07-12 23:38:20,0.297s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:20,2022-07-12 23:38:23,3.110s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:23,2022-07-12 23:38:24,1.032s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:24,2022-07-12 23:38:25,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:25,2022-07-12 23:38:25,0.690s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:25,2022-07-12 23:38:27,1.541s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:27,2022-07-12 23:38:28,0.793s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:28,2022-07-12 23:38:29,0.992s,PASSED
,,,,,,,
Test Cases/91_New Training Program Header,Chrome 103.0.5060.114,,,2022-07-12 23:38:29,2022-07-12 23:38:41,12.023s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:38:30,2022-07-12 23:38:32,2.151s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:38:32,2022-07-12 23:38:32,0.246s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:32,2022-07-12 23:38:36,3.362s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:38:36,2022-07-12 23:38:37,1.117s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:37,2022-07-12 23:38:37,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:37,2022-07-12 23:38:38,1.128s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:38:38,2022-07-12 23:38:39,1.186s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:38:39,2022-07-12 23:38:40,0.560s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:38:40,2022-07-12 23:38:41,0.782s,PASSED
,,,,,,,
Test Cases/92_New Training Program Fixed Footer,Chrome 103.0.5060.114,,,2022-07-12 23:38:41,2022-07-12 23:38:52,11.665s,PASSED
