Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_4,Chrome 103.0.5060.114,,,2022-07-12 23:36:44,2022-07-12 23:41:07,4m - 22.948s,PASSED
,,,,,,,
Test Cases/60_Approved Training Providers Tab,Chrome 103.0.5060.114,,,2022-07-12 23:36:45,2022-07-12 23:37:02,17.605s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:36:46,2022-07-12 23:36:54,8.104s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:36:54,2022-07-12 23:36:55,0.197s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:36:55,2022-07-12 23:36:57,2.379s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:36:57,2022-07-12 23:36:58,1.398s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:58,2022-07-12 23:36:59,0.769s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:36:59,2022-07-12 23:37:00,0.756s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:00,2022-07-12 23:37:01,0.712s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:01,2022-07-12 23:37:01,0.654s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:01,2022-07-12 23:37:02,1.097s,PASSED
,,,,,,,
Test Cases/61_Approved Training Providers Search by Training Provider,Chrome 103.0.5060.114,,,2022-07-12 23:37:02,2022-07-12 23:37:14,11.600s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:04,2022-07-12 23:37:06,2.445s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:06,2022-07-12 23:37:06,0.198s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:06,2022-07-12 23:37:09,2.409s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:09,2022-07-12 23:37:10,1.189s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:10,2022-07-12 23:37:11,0.849s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:11,2022-07-12 23:37:11,0.704s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:11,2022-07-12 23:37:12,1.049s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:12,2022-07-12 23:37:13,0.652s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:13,2022-07-12 23:37:14,0.970s,PASSED
,,,,,,,
Test Cases/62_Approved Training Providers Search by Training Program,Chrome 103.0.5060.114,,,2022-07-12 23:37:14,2022-07-12 23:37:25,10.938s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:15,2022-07-12 23:37:17,1.762s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:17,2022-07-12 23:37:17,0.253s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:17,2022-07-12 23:37:20,2.735s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:20,2022-07-12 23:37:20,0.603s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:20,2022-07-12 23:37:21,0.492s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:21,2022-07-12 23:37:23,1.690s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:23,2022-07-12 23:37:23,0.874s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:23,2022-07-12 23:37:24,0.621s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:24,2022-07-12 23:37:25,1.014s,PASSED
,,,,,,,
Test Cases/63_Approved Training Providers Search by Training Type,Chrome 103.0.5060.114,,,2022-07-12 23:37:25,2022-07-12 23:37:35,10.042s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:26,2022-07-12 23:37:27,1.618s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:27,2022-07-12 23:37:28,0.186s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:28,2022-07-12 23:37:31,3.098s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:31,2022-07-12 23:37:32,1.235s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:32,2022-07-12 23:37:32,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:32,2022-07-12 23:37:33,0.660s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:33,2022-07-12 23:37:34,0.579s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:34,2022-07-12 23:37:34,0.528s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:37:34,2022-07-12 23:37:35,0.813s,PASSED
,,,,,,,
Test Cases/64_Approved Training Providers Search by Approval Status,Chrome 103.0.5060.114,,,2022-07-12 23:37:35,2022-07-12 23:37:47,11.669s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:37:37,2022-07-12 23:37:39,1.673s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:37:39,2022-07-12 23:37:39,0.155s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:39,2022-07-12 23:37:42,2.552s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:37:42,2022-07-12 23:37:43,1.247s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:43,2022-07-12 23:37:44,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:44,2022-07-12 23:37:44,0.635s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:37:44,2022-07-12 23:37:45,0.665s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:37:45,2022-07-12 23:37:46,1.059s,PASSED
