Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beta_1,Chrome 103.0.5060.114,,,2022-07-12 23:32:53,2022-07-12 23:34:27,1m - 34.389s,PASSED
,,,,,,,
Test Cases/01_CPO Approved Courses Tab,Chrome 103.0.5060.114,,,2022-07-12 23:32:53,2022-07-12 23:33:02,9.347s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:32:53,2022-07-12 23:32:56,2.792s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:32:56,2022-07-12 23:32:56,0.175s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:32:56,2022-07-12 23:32:58,2.083s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:32:58,2022-07-12 23:32:59,1.057s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:32:59,2022-07-12 23:33:00,0.375s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:00,2022-07-12 23:33:00,0.444s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:00,2022-07-12 23:33:01,0.668s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:01,2022-07-12 23:33:01,0.529s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:33:01,2022-07-12 23:33:02,0.738s,PASSED
,,,,,,,
Test Cases/02_Approved Courses Search by Date Range,Chrome 103.0.5060.114,,,2022-07-12 23:33:02,2022-07-12 23:33:09,6.658s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:33:03,2022-07-12 23:33:04,1.324s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:33:04,2022-07-12 23:33:04,0.140s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:04,2022-07-12 23:33:05,1.424s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:33:05,2022-07-12 23:33:06,0.687s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:06,2022-07-12 23:33:06,0.366s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_Training Eligibility""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:06,2022-07-12 23:33:07,0.435s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:07,2022-07-12 23:33:08,0.648s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), ""CPO Approved Courses"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:08,2022-07-12 23:33:08,0.566s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:33:08,2022-07-12 23:33:09,0.707s,PASSED
,,,,,,,
Test Cases/03_Approved Courses Search by Training Type,Chrome 103.0.5060.114,,,2022-07-12 23:33:09,2022-07-12 23:33:17,7.756s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:33:09,2022-07-12 23:33:10,1.267s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:33:10,2022-07-12 23:33:11,0.142s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:11,2022-07-12 23:33:12,1.593s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/mat-label_Training type""), ""Training type"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:12,2022-07-12 23:33:13,0.704s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/button_All""), ""All"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:13,2022-07-12 23:33:13,0.368s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/button_Blended""), ""Blended"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:13,2022-07-12 23:33:14,0.362s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/button_Distance""), ""Distance"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:14,2022-07-12 23:33:14,0.369s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/button_eLearning""), ""eLearning"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:14,2022-07-12 23:33:14,0.335s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_PublicPortal/button_In-Class""), ""In-Class"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:14,2022-07-12 23:33:15,0.363s,PASSED
"click(findTestObject(""Object Repository/Page_PublicPortal/button_Search""))",Chrome 103.0.5060.114,,,2022-07-12 23:33:15,2022-07-12 23:33:15,0.394s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/span_Showing 7 course advertisements""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:33:15,2022-07-12 23:33:16,0.803s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-12 23:33:16,2022-07-12 23:33:17,0.704s,PASSED
,,,,,,,
Test Cases/04_Approved Courses Search by Training Program,Chrome 103.0.5060.114,,,2022-07-12 23:33:17,2022-07-12 23:33:23,6.319s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 23:33:17,2022-07-12 23:33:18,1.294s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-12 23:33:18,2022-07-12 23:33:18,0.140s,PASSED
"navigateToUrl(""https://intra.stage.apps.labour.gov.on.ca/public-portal-qa/#/marketplace/course-search"")",Chrome 103.0.5060.114,,,2022-07-12 23:33:18,2022-07-12 23:33:20,1.377s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_PublicPortal/li_CPO Approved Courses""), 0)",Chrome 103.0.5060.114,,,2022-07-12 23:33:20,2022-07-12 23:33:20,0.666s,PASSED
